Omar Al-Ali, 1995-01-07, AKTIV, KONKURRENCESVØMMER, SENIOR
Kirsten Jørgensen, 2004-12-30, PASSIV, KONKURRENCESVØMMER, SENIOR
Niels Nielsen, 1979-05-30, PASSIV, MOTIONIST, SENIOR
Søren Rasmussen, 1987-06-07, PASSIV, KONKURRENCESVØMMER, SENIOR
Anne Christensen, 2005-06-11, PASSIV, KONKURRENCESVØMMER, SENIOR
Christian Rasmussen, 1977-10-18, AKTIV, KONKURRENCESVØMMER, SENIOR
Kirsten Nielsen, 1992-09-14, PASSIV, KONKURRENCESVØMMER, SENIOR
Helle Nielsen, 1978-12-08, PASSIV, KONKURRENCESVØMMER, SENIOR
Jens Pedersen, 2011-05-23, AKTIV, KONKURRENCESVØMMER, JUNIOR
Marianne Nielsen, 1976-02-05, AKTIV, MOTIONIST, SENIOR
Jens Larsen, 1986-05-23, AKTIV, KONKURRENCESVØMMER, SENIOR
Anne Nielsen, 2006-12-05, PASSIV, MOTIONIST, SENIOR
Anna Pedersen, 1993-04-19, AKTIV, MOTIONIST, SENIOR
Henrik Hansen, 1999-04-12, PASSIV, MOTIONIST, SENIOR
Susanne Christensen, 1977-01-18, PASSIV, MOTIONIST, SENIOR
Peter Nielsen, 1989-11-11, PASSIV, MOTIONIST, SENIOR
Peter Nielsen, 2004-12-13, PASSIV, MOTIONIST, SENIOR
Marianne Larsen, 1973-07-26, PASSIV, KONKURRENCESVØMMER, SENIOR
Hanne Jensen, 1981-11-21, PASSIV, MOTIONIST, SENIOR
Anne Nielsen, 1979-07-31, AKTIV, MOTIONIST, SENIOR
Anna Andersen, 2006-08-21, AKTIV, KONKURRENCESVØMMER, SENIOR
Jan Hansen, 2010-02-24, PASSIV, KONKURRENCESVØMMER, JUNIOR
Jan Larsen, 1994-08-08, AKTIV, MOTIONIST, SENIOR
Anna Rasmussen, 1984-02-17, PASSIV, KONKURRENCESVØMMER, SENIOR
Maria Hansen, 1983-09-18, AKTIV, KONKURRENCESVØMMER, SENIOR
Maria Rasmussen, 1989-05-28, PASSIV, MOTIONIST, SENIOR
Niels Nielsen, 1994-05-07, AKTIV, MOTIONIST, SENIOR
Maria Jørgensen, 2005-06-23, AKTIV, KONKURRENCESVØMMER, SENIOR
Jens Larsen, 1983-02-28, PASSIV, MOTIONIST, SENIOR
Anne Jensen, 2001-10-27, AKTIV, MOTIONIST, SENIOR
Maria Andersen, 1989-03-18, PASSIV, KONKURRENCESVØMMER, SENIOR
Henrik Jørgensen, 1971-02-22, AKTIV, KONKURRENCESVØMMER, SENIOR
Niels Hansen, 1995-02-26, AKTIV, KONKURRENCESVØMMER, SENIOR
Peter Hansen, 2011-05-20, AKTIV, KONKURRENCESVØMMER, JUNIOR
Helle Andersen, 1987-01-25, PASSIV, MOTIONIST, SENIOR
Lars Jørgensen, 2009-07-28, AKTIV, KONKURRENCESVØMMER, JUNIOR
Hanne Nielsen, 1994-09-18, PASSIV, KONKURRENCESVØMMER, SENIOR
Niels Nielsen, 2013-08-25, AKTIV, KONKURRENCESVØMMER, JUNIOR
Lene Andersen, 1973-12-29, AKTIV, KONKURRENCESVØMMER, SENIOR
Jan Rasmussen, 1987-03-06, PASSIV, MOTIONIST, SENIOR
Michael Christensen, 2000-11-19, PASSIV, MOTIONIST, SENIOR
Maria Hansen, 2009-03-18, AKTIV, MOTIONIST, JUNIOR
Marianne Sørensen, 2010-01-04, AKTIV, MOTIONIST, JUNIOR
Henrik Pedersen, 1995-03-28, AKTIV, KONKURRENCESVØMMER, SENIOR
Jens Christensen, 1984-10-16, PASSIV, KONKURRENCESVØMMER, SENIOR
Thomas Pedersen, 1997-11-10, PASSIV, MOTIONIST, SENIOR
Jan Larsen, 1984-12-25, PASSIV, KONKURRENCESVØMMER, SENIOR
Peter Andersen, 1972-09-13, PASSIV, MOTIONIST, SENIOR
Peter Jørgensen, 2009-12-21, PASSIV, MOTIONIST, JUNIOR
Marianne Nielsen, 2008-09-03, PASSIV, MOTIONIST, JUNIOR
Henrik Christensen, 1976-09-23, PASSIV, MOTIONIST, SENIOR
Helle Jensen, 1970-03-05, PASSIV, MOTIONIST, SENIOR
Thomas Sørensen, 1991-03-25, AKTIV, KONKURRENCESVØMMER, SENIOR
Kirsten Jensen, 1975-05-09, PASSIV, KONKURRENCESVØMMER, SENIOR
Maria Jørgensen, 1992-07-14, PASSIV, MOTIONIST, SENIOR
Lars Jørgensen, 2012-10-23, PASSIV, KONKURRENCESVØMMER, JUNIOR
Susanne Jensen, 1992-12-14, AKTIV, KONKURRENCESVØMMER, SENIOR
Niels Andersen, 1998-01-17, AKTIV, MOTIONIST, SENIOR
Kirsten Larsen, 1975-06-27, AKTIV, MOTIONIST, SENIOR
Jens Christensen, 1977-03-14, AKTIV, MOTIONIST, SENIOR
Jens Sørensen, 1991-02-15, PASSIV, KONKURRENCESVØMMER, SENIOR
Helle Rasmussen, 2010-02-01, AKTIV, KONKURRENCESVØMMER, JUNIOR
Helle Sørensen, 1970-11-08, AKTIV, MOTIONIST, SENIOR
Anna Nielsen, 1970-06-13, AKTIV, MOTIONIST, SENIOR
Susanne Hansen, 1992-02-29, AKTIV, KONKURRENCESVØMMER, SENIOR
Christian Sørensen, 2011-07-14, AKTIV, KONKURRENCESVØMMER, JUNIOR
Helle Nielsen, 2004-03-26, PASSIV, KONKURRENCESVØMMER, SENIOR
Henrik Andersen, 2013-12-14, PASSIV, KONKURRENCESVØMMER, JUNIOR
Jan Hansen, 1987-05-17, PASSIV, MOTIONIST, SENIOR
Susanne Christensen, 2011-10-07, PASSIV, KONKURRENCESVØMMER, JUNIOR
Christian Rasmussen, 2011-03-13, PASSIV, KONKURRENCESVØMMER, JUNIOR
Hanne Andersen, 1986-02-22, PASSIV, KONKURRENCESVØMMER, SENIOR
Søren Christensen, 1984-08-22, AKTIV, KONKURRENCESVØMMER, SENIOR
Kirsten Rasmussen, 2006-08-05, PASSIV, KONKURRENCESVØMMER, SENIOR
Mette Sørensen, 2009-12-24, AKTIV, KONKURRENCESVØMMER, JUNIOR
Lene Sørensen, 2009-07-22, AKTIV, KONKURRENCESVØMMER, JUNIOR
Anne Christensen, 1992-01-24, PASSIV, KONKURRENCESVØMMER, SENIOR
Lene Pedersen, 1983-05-04, PASSIV, MOTIONIST, SENIOR
Marianne Sørensen, 1979-04-05, PASSIV, MOTIONIST, SENIOR
Michael Jensen, 2010-02-18, AKTIV, KONKURRENCESVØMMER, JUNIOR
Helle Christensen, 1997-08-04, PASSIV, MOTIONIST, SENIOR
Søren Andersen, 1995-01-11, AKTIV, MOTIONIST, SENIOR
Henrik Sørensen, 1973-07-10, PASSIV, KONKURRENCESVØMMER, SENIOR
Helle Andersen, 1975-10-03, AKTIV, KONKURRENCESVØMMER, SENIOR
Thomas Jensen, 1984-05-17, PASSIV, MOTIONIST, SENIOR
Hanne Nielsen, 2003-08-11, PASSIV, KONKURRENCESVØMMER, SENIOR
Peter Nielsen, 1998-01-21, AKTIV, KONKURRENCESVØMMER, SENIOR
Kirsten Jørgensen, 2012-03-15, PASSIV, MOTIONIST, JUNIOR
Maria Andersen, 1981-08-05, AKTIV, KONKURRENCESVØMMER, SENIOR
Susanne Nielsen, 1974-03-21, PASSIV, KONKURRENCESVØMMER, SENIOR
Christian Rasmussen, 1987-03-19, PASSIV, MOTIONIST, SENIOR
Maria Nielsen, 1980-08-13, PASSIV, MOTIONIST, SENIOR
Lene Pedersen, 1993-06-02, AKTIV, KONKURRENCESVØMMER, SENIOR
Christian Nielsen, 1974-03-10, PASSIV, KONKURRENCESVØMMER, SENIOR
Kirsten Sørensen, 2007-09-13, PASSIV, KONKURRENCESVØMMER, JUNIOR
Christian Sørensen, 1974-08-31, PASSIV, MOTIONIST, SENIOR
Thomas Andersen, 2009-02-03, PASSIV, MOTIONIST, JUNIOR
Jan Pedersen, 1978-04-05, AKTIV, KONKURRENCESVØMMER, SENIOR
Henrik Rasmussen, 1973-11-08, PASSIV, MOTIONIST, SENIOR
Jens Andersen, 1985-10-21, AKTIV, MOTIONIST, SENIOR
Lene Pedersen, 1983-07-20, PASSIV, KONKURRENCESVØMMER, SENIOR
Thomas Andersen, 2005-09-15, PASSIV, KONKURRENCESVØMMER, SENIOR
Mette Larsen, 1986-11-26, PASSIV, MOTIONIST, SENIOR
Jan Rasmussen, 1999-04-03, PASSIV, MOTIONIST, SENIOR
Kirsten Hansen, 2010-07-27, PASSIV, KONKURRENCESVØMMER, JUNIOR
Lene Jensen, 2000-10-13, AKTIV, MOTIONIST, SENIOR
Kirsten Sørensen, 1985-03-19, PASSIV, MOTIONIST, SENIOR
Lene Sørensen, 1972-04-05, AKTIV, MOTIONIST, SENIOR
Michael Pedersen, 1980-09-07, PASSIV, KONKURRENCESVØMMER, SENIOR
Peter Rasmussen, 1983-07-27, AKTIV, MOTIONIST, SENIOR
Peter Hansen, 2006-04-01, AKTIV, MOTIONIST, SENIOR
Lars Hansen, 2013-04-07, AKTIV, MOTIONIST, JUNIOR
Marianne Jensen, 1973-09-21, AKTIV, KONKURRENCESVØMMER, SENIOR
Thomas Andersen, 2008-07-21, AKTIV, MOTIONIST, JUNIOR
Niels Christensen, 1999-04-23, AKTIV, KONKURRENCESVØMMER, SENIOR
Susanne Christensen, 1980-08-31, PASSIV, MOTIONIST, SENIOR
Christian Jørgensen, 2002-05-03, AKTIV, MOTIONIST, SENIOR
Anne Christensen, 2011-10-30, PASSIV, MOTIONIST, JUNIOR
Kirsten Christensen, 1998-04-12, AKTIV, MOTIONIST, SENIOR
Lars Christensen, 1976-07-05, AKTIV, MOTIONIST, SENIOR
Michael Hansen, 2013-04-09, AKTIV, KONKURRENCESVØMMER, JUNIOR
Lene Larsen, 2002-06-06, AKTIV, MOTIONIST, SENIOR
Jens Hansen, 1970-03-24, AKTIV, KONKURRENCESVØMMER, SENIOR
Thomas Christensen, 2003-09-02, AKTIV, MOTIONIST, SENIOR
Anne Nielsen, 2008-01-23, PASSIV, MOTIONIST, JUNIOR
Lars Pedersen, 1975-09-25, PASSIV, KONKURRENCESVØMMER, SENIOR
Jens Andersen, 1990-03-11, AKTIV, MOTIONIST, SENIOR
Jan Rasmussen, 2000-05-28, AKTIV, MOTIONIST, SENIOR
Søren Rasmussen, 1986-06-04, AKTIV, KONKURRENCESVØMMER, SENIOR
Niels Nielsen, 2009-05-04, AKTIV, MOTIONIST, JUNIOR
Helle Jensen, 2001-12-08, AKTIV, KONKURRENCESVØMMER, SENIOR
Peter Hansen, 2013-09-05, AKTIV, KONKURRENCESVØMMER, JUNIOR
Susanne Jensen, 2003-03-27, PASSIV, KONKURRENCESVØMMER, SENIOR
Jens Andersen, 1997-05-19, AKTIV, KONKURRENCESVØMMER, SENIOR
Susanne Nielsen, 2011-06-07, AKTIV, MOTIONIST, JUNIOR
Michael Sørensen, 1970-06-24, PASSIV, MOTIONIST, SENIOR
Maria Pedersen, 2006-04-27, AKTIV, KONKURRENCESVØMMER, SENIOR
Thomas Sørensen, 1972-02-24, AKTIV, KONKURRENCESVØMMER, SENIOR
Niels Pedersen, 1970-05-10, PASSIV, KONKURRENCESVØMMER, SENIOR
Jens Jensen, 1983-09-09, PASSIV, KONKURRENCESVØMMER, SENIOR
Lars Sørensen, 1988-03-30, PASSIV, MOTIONIST, SENIOR
Marianne Pedersen, 1972-05-28, AKTIV, KONKURRENCESVØMMER, SENIOR
Kirsten Pedersen, 2011-03-19, PASSIV, KONKURRENCESVØMMER, JUNIOR
Marianne Hansen, 1983-03-10, AKTIV, MOTIONIST, SENIOR
Kirsten Pedersen, 2001-02-28, PASSIV, MOTIONIST, SENIOR
Michael Hansen, 1997-12-08, AKTIV, MOTIONIST, SENIOR
Lars Sørensen, 2012-09-01, PASSIV, MOTIONIST, JUNIOR
Henrik Larsen, 1990-07-03, PASSIV, MOTIONIST, SENIOR
Niels Rasmussen, 2008-08-31, PASSIV, MOTIONIST, JUNIOR
Anne Larsen, 1989-07-29, PASSIV, MOTIONIST, SENIOR
Michael Jørgensen, 1990-06-25, PASSIV, MOTIONIST, SENIOR
Søren Larsen, 1977-06-02, PASSIV, MOTIONIST, SENIOR
Hanne Larsen, 1997-02-06, AKTIV, KONKURRENCESVØMMER, SENIOR
Maria Hansen, 2008-04-09, AKTIV, KONKURRENCESVØMMER, JUNIOR
Lars Andersen, 1999-01-31, PASSIV, KONKURRENCESVØMMER, SENIOR
Susanne Christensen, 1992-09-17, PASSIV, KONKURRENCESVØMMER, SENIOR
Christian Jensen, 2002-05-13, AKTIV, KONKURRENCESVØMMER, SENIOR
Michael Pedersen, 2001-09-11, PASSIV, KONKURRENCESVØMMER, SENIOR
Christian Andersen, 1971-12-21, AKTIV, KONKURRENCESVØMMER, SENIOR
Marianne Andersen, 1990-02-06, PASSIV, MOTIONIST, SENIOR
Thomas Sørensen, 1984-09-29, PASSIV, KONKURRENCESVØMMER, SENIOR
Helle Jensen, 1983-06-09, AKTIV, KONKURRENCESVØMMER, SENIOR
Maria Jørgensen, 1997-01-26, AKTIV, KONKURRENCESVØMMER, SENIOR
Anna Sørensen, 2012-01-25, AKTIV, KONKURRENCESVØMMER, JUNIOR
Christian Sørensen, 1974-01-12, PASSIV, MOTIONIST, SENIOR
Susanne Andersen, 2005-10-04, AKTIV, KONKURRENCESVØMMER, SENIOR
Thomas Jensen, 1973-08-09, AKTIV, KONKURRENCESVØMMER, SENIOR
Lars Jørgensen, 1970-04-08, AKTIV, KONKURRENCESVØMMER, SENIOR
Anne Jensen, 1991-11-08, AKTIV, KONKURRENCESVØMMER, SENIOR
Michael Sørensen, 1990-05-26, PASSIV, KONKURRENCESVØMMER, SENIOR
Henrik Rasmussen, 2011-01-30, PASSIV, KONKURRENCESVØMMER, JUNIOR
Susanne Christensen, 1987-03-29, AKTIV, KONKURRENCESVØMMER, SENIOR
Anna Larsen, 1990-09-25, PASSIV, KONKURRENCESVØMMER, SENIOR
Søren Andersen, 2007-01-02, AKTIV, MOTIONIST, JUNIOR
Anne Hansen, 2005-01-20, PASSIV, KONKURRENCESVØMMER, SENIOR
Anne Pedersen, 1994-03-04, AKTIV, KONKURRENCESVØMMER, SENIOR
Mette Andersen, 2012-02-09, PASSIV, MOTIONIST, JUNIOR
Jan Jørgensen, 1995-02-09, PASSIV, MOTIONIST, SENIOR
Jens Pedersen, 1987-06-02, AKTIV, KONKURRENCESVØMMER, SENIOR
Anna Sørensen, 2006-02-04, AKTIV, KONKURRENCESVØMMER, SENIOR
Maria Hansen, 1999-02-01, AKTIV, KONKURRENCESVØMMER, SENIOR
Peter Nielsen, 2005-02-12, AKTIV, MOTIONIST, SENIOR
Anna Pedersen, 2010-03-13, AKTIV, KONKURRENCESVØMMER, JUNIOR
Anna Larsen, 1999-04-12, PASSIV, KONKURRENCESVØMMER, SENIOR
Mette Andersen, 2001-05-26, AKTIV, MOTIONIST, SENIOR
Jens Christensen, 2007-05-16, PASSIV, KONKURRENCESVØMMER, JUNIOR
Hanne Nielsen, 2002-07-16, AKTIV, KONKURRENCESVØMMER, SENIOR
Christian Jørgensen, 1999-05-30, AKTIV, MOTIONIST, SENIOR
Anne Hansen, 1997-05-26, PASSIV, KONKURRENCESVØMMER, SENIOR
Peter Jensen, 2002-11-04, AKTIV, MOTIONIST, SENIOR
Maria Pedersen, 1973-07-10, AKTIV, MOTIONIST, SENIOR
Anne Rasmussen, 1990-03-26, AKTIV, MOTIONIST, SENIOR
Peter Jørgensen, 2006-11-03, PASSIV, KONKURRENCESVØMMER, SENIOR
Helle Nielsen, 2007-05-24, PASSIV, KONKURRENCESVØMMER, JUNIOR
Anne Jensen, 1992-11-22, AKTIV, MOTIONIST, SENIOR
Lars Christensen, 1975-09-15, AKTIV, MOTIONIST, SENIOR
Marianne Jørgensen, 1978-12-25, PASSIV, KONKURRENCESVØMMER, SENIOR
Jens Larsen, 2003-05-13, PASSIV, KONKURRENCESVØMMER, SENIOR
Lene Rasmussen, 1995-04-04, AKTIV, MOTIONIST, SENIOR
Michael Nielsen, 1972-04-15, AKTIV, KONKURRENCESVØMMER, SENIOR
Søren Christensen, 1996-07-31, PASSIV, KONKURRENCESVØMMER, SENIOR
Anna Jørgensen, 1980-12-22, PASSIV, MOTIONIST, SENIOR
Christian Jørgensen, 1994-02-07, AKTIV, KONKURRENCESVØMMER, SENIOR
Helle Sørensen, 1986-09-19, AKTIV, KONKURRENCESVØMMER, SENIOR
Anne Jørgensen, 2007-08-07, PASSIV, MOTIONIST, JUNIOR
Lars Pedersen, 1978-07-14, AKTIV, MOTIONIST, SENIOR
Susanne Andersen, 1979-07-31, AKTIV, MOTIONIST, SENIOR
Thomas Rasmussen, 1985-03-11, AKTIV, KONKURRENCESVØMMER, SENIOR
Niels Christensen, 1978-04-30, PASSIV, MOTIONIST, SENIOR
Niels Rasmussen, 1998-09-06, PASSIV, MOTIONIST, SENIOR
Kirsten Larsen, 2006-10-30, AKTIV, MOTIONIST, SENIOR
Kirsten Christensen, 1991-12-26, PASSIV, MOTIONIST, SENIOR
Søren Pedersen, 1974-06-12, AKTIV, MOTIONIST, SENIOR
Helle Jørgensen, 1983-04-13, AKTIV, KONKURRENCESVØMMER, SENIOR
Peter Hansen, 1980-04-18, AKTIV, KONKURRENCESVØMMER, SENIOR
Susanne Christensen, 1988-04-14, AKTIV, MOTIONIST, SENIOR
Susanne Christensen, 1985-05-22, AKTIV, KONKURRENCESVØMMER, SENIOR
Lene Hansen, 1980-06-21, AKTIV, MOTIONIST, SENIOR
Marianne Jensen, 1970-08-08, AKTIV, MOTIONIST, SENIOR
Peter Sørensen, 1984-01-05, AKTIV, KONKURRENCESVØMMER, SENIOR
Peter Nielsen, 1976-01-26, PASSIV, KONKURRENCESVØMMER, SENIOR
Christian Pedersen, 2000-05-27, AKTIV, KONKURRENCESVØMMER, SENIOR
Christian Pedersen, 1988-04-02, AKTIV, KONKURRENCESVØMMER, SENIOR
Jens Jørgensen, 2004-01-09, PASSIV, KONKURRENCESVØMMER, SENIOR
Peter Jensen, 1998-01-24, AKTIV, MOTIONIST, SENIOR
Maria Sørensen, 1978-10-30, PASSIV, KONKURRENCESVØMMER, SENIOR
Christian Pedersen, 1993-06-28, AKTIV, KONKURRENCESVØMMER, SENIOR
Mette Pedersen, 2012-11-22, PASSIV, KONKURRENCESVØMMER, JUNIOR
Maria Nielsen, 2005-03-24, AKTIV, KONKURRENCESVØMMER, SENIOR
Henrik Andersen, 1976-02-10, PASSIV, MOTIONIST, SENIOR
Jens Nielsen, 1977-01-08, PASSIV, MOTIONIST, SENIOR
Jens Christensen, 2005-11-02, AKTIV, KONKURRENCESVØMMER, SENIOR
Jan Jensen, 1973-06-08, PASSIV, MOTIONIST, SENIOR
Marianne Hansen, 1994-09-24, PASSIV, KONKURRENCESVØMMER, SENIOR
Helle Pedersen, 1979-08-05, AKTIV, KONKURRENCESVØMMER, SENIOR
Thomas Rasmussen, 2012-05-09, AKTIV, KONKURRENCESVØMMER, JUNIOR
Michael Larsen, 1994-04-20, PASSIV, KONKURRENCESVØMMER, SENIOR
Maria Rasmussen, 2010-12-23, AKTIV, KONKURRENCESVØMMER, JUNIOR
Søren Rasmussen, 2005-02-23, PASSIV, KONKURRENCESVØMMER, SENIOR
Henrik Hansen, 1986-01-09, PASSIV, KONKURRENCESVØMMER, SENIOR
Hanne Rasmussen, 1971-07-25, PASSIV, MOTIONIST, SENIOR
Henrik Sørensen, 1996-06-16, PASSIV, MOTIONIST, SENIOR
Helle Jørgensen, 1983-06-01, AKTIV, KONKURRENCESVØMMER, SENIOR
Maria Nielsen, 1973-10-09, AKTIV, MOTIONIST, SENIOR
Kirsten Larsen, 2012-11-01, AKTIV, KONKURRENCESVØMMER, JUNIOR
Susanne Sørensen, 1984-11-18, AKTIV, MOTIONIST, SENIOR
Lene Hansen, 1990-05-26, AKTIV, MOTIONIST, SENIOR
Kirsten Hansen, 1973-07-10, PASSIV, MOTIONIST, SENIOR
Hanne Pedersen, 1987-05-29, AKTIV, MOTIONIST, SENIOR
Anne Andersen, 1997-10-27, AKTIV, MOTIONIST, SENIOR
Hanne Jørgensen, 1996-07-30, PASSIV, KONKURRENCESVØMMER, SENIOR
Niels Sørensen, 2010-12-14, AKTIV, KONKURRENCESVØMMER, JUNIOR
Søren Nielsen, 1972-09-15, AKTIV, MOTIONIST, SENIOR
Kirsten Christensen, 2005-06-07, PASSIV, MOTIONIST, SENIOR
Lene Jensen, 1994-03-26, PASSIV, KONKURRENCESVØMMER, SENIOR
Christian Jørgensen, 1974-08-03, PASSIV, MOTIONIST, SENIOR
Thomas Andersen, 1983-03-14, AKTIV, MOTIONIST, SENIOR
Anne Nielsen, 1987-06-07, PASSIV, MOTIONIST, SENIOR
Mette Jensen, 1979-07-19, AKTIV, MOTIONIST, SENIOR
Anna Christensen, 1976-03-19, PASSIV, KONKURRENCESVØMMER, SENIOR
Thomas Nielsen, 1979-04-16, PASSIV, KONKURRENCESVØMMER, SENIOR
Marianne Christensen, 1977-08-02, PASSIV, MOTIONIST, SENIOR
Kirsten Nielsen, 1979-05-07, AKTIV, MOTIONIST, SENIOR
Anne Jørgensen, 1985-07-04, AKTIV, MOTIONIST, SENIOR
Michael Christensen, 2007-01-28, PASSIV, KONKURRENCESVØMMER, JUNIOR
Anne Andersen, 2000-01-08, PASSIV, KONKURRENCESVØMMER, SENIOR
Henrik Rasmussen, 2003-12-01, AKTIV, MOTIONIST, SENIOR
Marianne Jørgensen, 1974-03-18, AKTIV, KONKURRENCESVØMMER, SENIOR
Jan Sørensen, 2013-05-28, PASSIV, MOTIONIST, JUNIOR
Søren Rasmussen, 2010-07-02, AKTIV, MOTIONIST, JUNIOR
Jan Jørgensen, 2013-11-09, PASSIV, KONKURRENCESVØMMER, JUNIOR
Lars Jørgensen, 1987-11-22, PASSIV, KONKURRENCESVØMMER, SENIOR
Jan Larsen, 1983-10-05, PASSIV, MOTIONIST, SENIOR
Peter Andersen, 2012-06-11, PASSIV, KONKURRENCESVØMMER, JUNIOR
Hanne Hansen, 2001-07-22, PASSIV, KONKURRENCESVØMMER, SENIOR
Kirsten Rasmussen, 1981-03-07, PASSIV, MOTIONIST, SENIOR
Mette Jensen, 2012-09-11, PASSIV, KONKURRENCESVØMMER, JUNIOR
Niels Rasmussen, 1979-03-03, PASSIV, KONKURRENCESVØMMER, SENIOR
Anne Rasmussen, 2009-10-17, PASSIV, MOTIONIST, JUNIOR
Susanne Jensen, 1988-03-23, PASSIV, KONKURRENCESVØMMER, SENIOR
Helle Jørgensen, 2001-10-02, AKTIV, KONKURRENCESVØMMER, SENIOR
Lene Nielsen, 2012-02-04, PASSIV, MOTIONIST, JUNIOR
Jens Larsen, 2010-04-06, PASSIV, MOTIONIST, JUNIOR
Henrik Nielsen, 1998-02-03, PASSIV, KONKURRENCESVØMMER, SENIOR
Marianne Andersen, 1973-02-02, AKTIV, MOTIONIST, SENIOR
Susanne Christensen, 1991-09-12, PASSIV, MOTIONIST, SENIOR
Mette Larsen, 2003-01-15, PASSIV, KONKURRENCESVØMMER, SENIOR
Kirsten Jørgensen, 2010-03-01, PASSIV, KONKURRENCESVØMMER, JUNIOR
Lars Jensen, 1989-05-27, PASSIV, MOTIONIST, SENIOR
Susanne Christensen, 1974-10-17, PASSIV, KONKURRENCESVØMMER, SENIOR
Hanne Andersen, 2000-12-12, PASSIV, KONKURRENCESVØMMER, SENIOR
Niels Larsen, 1992-05-16, PASSIV, MOTIONIST, SENIOR
Thomas Larsen, 1978-05-16, AKTIV, KONKURRENCESVØMMER, SENIOR
Niels Nielsen, 2008-03-22, PASSIV, MOTIONIST, JUNIOR
Marianne Nielsen, 1990-05-14, AKTIV, MOTIONIST, SENIOR
Kirsten Pedersen, 2001-06-30, PASSIV, MOTIONIST, SENIOR
Marianne Pedersen, 2009-09-13, AKTIV, KONKURRENCESVØMMER, JUNIOR
Lene Christensen, 1989-12-09, AKTIV, MOTIONIST, SENIOR
Peter Nielsen, 1994-03-21, AKTIV, KONKURRENCESVØMMER, SENIOR
Henrik Pedersen, 1980-01-07, AKTIV, KONKURRENCESVØMMER, SENIOR
Henrik Andersen, 1994-09-30, AKTIV, MOTIONIST, SENIOR
Anna Christensen, 2007-02-28, AKTIV, MOTIONIST, JUNIOR
Jens Nielsen, 1998-10-09, AKTIV, KONKURRENCESVØMMER, SENIOR
Niels Pedersen, 1986-02-01, AKTIV, KONKURRENCESVØMMER, SENIOR
Anna Jensen, 2007-09-24, AKTIV, MOTIONIST, JUNIOR
Lene Sørensen, 1990-04-27, AKTIV, KONKURRENCESVØMMER, SENIOR
Peter Jørgensen, 1990-01-24, PASSIV, MOTIONIST, SENIOR
Susanne Sørensen, 1987-08-15, AKTIV, MOTIONIST, SENIOR
Maria Rasmussen, 1997-01-13, PASSIV, KONKURRENCESVØMMER, SENIOR
